Source,Target,Type,Id,Label,Weight
Tilo Schwalger,Emanuela De Falco,Undirected,227,,1
Tilo Schwalger,Rodrigo Quian Quiroga,Undirected,228,,1
Tilo Schwalger,Chiara Gastaldi,Undirected,229,,1
Tilo Schwalger,Jordi Tiana-Alsina,Undirected,230,,1
Tilo Schwalger,Jordi Garcia-Ojalvo,Undirected,231,,1
Florian Colombo,Alexander Seeholzer,Undirected,232,,1
Alexander Seeholzer,Moritz Deger,Undirected,233,,1
Alexander Seeholzer,Lukas Groschner,Undirected,234,,1
Alexander Seeholzer,Abigail Morrison,Undirected,235,,1
Alexander Seeholzer,Tim P. Vogels,Undirected,236,,1
Alexander Seeholzer,Renato Duarte,Undirected,237,,1
Alexander Seeholzer,Benedikt Obermayer,Undirected,238,,1
Alexander Seeholzer,Erwin Frey,Undirected,239,,1
Alexander Seeholzer,Roman Pogodin,Undirected,240,,1
ashok litwin-kumar,Kameron Decker Harris,Undirected,241,,1
Kameron Decker Harris,Peter Sheridan Dodds,Undirected,242,,1
Kameron Decker Harris,Chris Danforth,Undirected,243,,1
Kameron Decker Harris,Isabel Kloumann,Undirected,244,,1
Kameron Decker Harris,Catherine A. Bliss,Undirected,245,,1
Kameron Decker Harris,Morgan R. Frank,Undirected,246,,1
Kameron Decker Harris,Lewis Mitchell,Undirected,247,,1
Kameron Decker Harris,Eric Shea-Brown,Undirected,248,,1
Kameron Decker Harris,Stefan Mihalas,Undirected,249,,1
Kameron Decker Harris,Jan Marino Ramirez,Undirected,250,,1
Mark J. Wagner,Liqun Luo,Undirected,251,,1
Mark J. Wagner,Mark J. Schnitzer,Undirected,252,,1
Mark J. Wagner,Tony Hyun Kim,Undirected,253,,1
Mark J. Wagner,Surya Ganguli,Undirected,254,,1
Mark J. Wagner,Yiyang Gong,Undirected,255,,1
Mark J. Wagner,Oscar Hernandez,Undirected,256,,1
Mark J. Wagner,Nghia D Nguyen,Undirected,257,,1
Mark J. Wagner,Biafra Ahanonu,Undirected,258,,1
Mark J. Wagner,Stephen Quake,Undirected,259,,1
Mark J. Wagner,Maurice Smith,Undirected,260,,1
Mark J. Wagner,Jing Ren,Undirected,261,,1
Mark J. Wagner,Jérôme Lecoq,Undirected,262,,1
Mark J. Wagner,Paul Sajda,Undirected,263,,1
Mark J. Wagner,Lucas C. Parra,Undirected,264,,1
Mark J. Wagner,Marios G. Philiastides,Undirected,265,,1
Mark J. Wagner,Christoforos Christoforou,Undirected,266,,1
Mark J. Wagner,Jonathan Kadmon,Undirected,267,,1
Mark J. Wagner,Haruhiko Bito,Undirected,268,,1
Mark J. Wagner,Hongkui Zeng,Undirected,269,,1
Mark J. Wagner,MASATOSHI INOUE,Undirected,270,,1
Chiara Gastaldi,Rodrigo Quian Quiroga,Undirected,271,,1
Chiara Gastaldi,Emanuela De Falco,Undirected,272,,1
Chiara Gastaldi,Yannis Burnier,Undirected,273,,1
Kenji W Koyano,Takahiro Osada,Undirected,274,,1
Kenji W Koyano,Masaki Takeda,Undirected,275,,1
Kenji W Koyano,Teppei Matsui,Undirected,276,,1
Takahiro Osada,Ogawa Akitoshi,Undirected,277,,1
Takahiro Osada,Shigeki Aoki,Undirected,278,,1
Takahiro Osada,Koji Kamagata,Undirected,279,,1
Takahiro Osada,Kentaro Miyamoto,Undirected,280,,1
Takahiro Osada,Teppei Matsui,Undirected,281,,1
Takahiro Osada,Masaaki Hori,Undirected,282,,1
Takahiro Osada,Kiyoshi Nakahara,Undirected,283,,1
Takahiro Osada,"Takamitsu Watanabe, MD PhD",Undirected,284,,1
Takahiro Osada,Olaf Sporns,Undirected,285,,1
Takahiro Osada,Minoru Koyama,Undirected,286,,1
Takahiro Osada,MIYAKAWA Naohisa,Undirected,287,,1
Takahiro Osada,Masahiro Shibata,Undirected,288,,1
Takahiro Osada,Hirotaka Watada,Undirected,289,,1
Takahiro Osada,Masaki Takeda,Undirected,290,,1
Takahiro Osada,Yoshifumi Tamura,Undirected,291,,1
Takahiro Osada,Shinri Ohta,Undirected,292,,1
Takahiro Osada,Koji Jimura,Undirected,293,,1
Takahiro Osada,Osamu Abe,Undirected,294,,1
Kentaro Miyamoto,Masaki Takeda,Undirected,295,,1
Kentaro Miyamoto,Teppei Matsui,Undirected,296,,1
Masaki Takeda,Kiyoshi Nakahara,Undirected,297,,1
Masaki Takeda,Teppei Matsui,Undirected,298,,1
Masaki Takeda,Yuji Naya,Undirected,299,,1
Masaki Takeda,Masaki Fukunaga,Undirected,300,,1
Masaki Takeda,Norihiro Sadato,Undirected,301,,1
Masaki Takeda,Masatoshi Yoshida,Undirected,302,,1
Masaki Takeda,Yukiyasu Kamitani,Undirected,303,,1
Teppei Matsui,Tomonari Murakami,Undirected,304,,1
Teppei Matsui,Junichi Chikazoe,Undirected,305,,1
Teppei Matsui,"Takamitsu Watanabe, MD PhD",Undirected,306,,1
Teppei Matsui,Olaf Sporns,Undirected,307,,1
Teppei Matsui,Koji Jimura,Undirected,308,,1
Teppei Matsui,Trung Quang Pham,Undirected,309,,1
Teppei Matsui,Minoru Koyama,Undirected,310,,1
Teppei Matsui,Kiyoshi Nakahara,Undirected,311,,1
Teppei Matsui,Yuji Naya,Undirected,312,,1
Teppei Matsui,Haruhiko Bito,Undirected,313,,1
Teppei Matsui,Tsukasa Kamigaki,Undirected,314,,1
Teppei Matsui,Norihiro Sadato,Undirected,315,,1
Teppei Matsui,Yoshiki Hattori,Undirected,316,,1
Teppei Matsui,Ryutaro Uchiyama,Undirected,317,,1
Teppei Matsui,MASATO TAKI,Undirected,318,,1
Johannes Mayrhofer,Florent Haiss,Undirected,319,,1
Johannes Mayrhofer,Fritjof Helmchen,Undirected,320,,1
Johannes Mayrhofer,Simon Musall,Undirected,321,,1
Johannes Mayrhofer,Wolfger von der Behrens,Undirected,322,,1
Johannes Mayrhofer,Matthias Wyss,Undirected,323,,1
Johannes Mayrhofer,Philipp Mächler,Undirected,324,,1
Johannes Mayrhofer,Matthew Barrett,Undirected,325,,1
Johannes Mayrhofer,Aiman S. Saab,Undirected,326,,1
Johannes Mayrhofer,Kim David Ferrari,Undirected,327,,1
Johannes Mayrhofer,AM Hall,Undirected,328,,1
Johannes Mayrhofer,Matthew Larkum,Undirected,329,,1
Johannes Mayrhofer,Hanns Ulrich Zeilhofer,Undirected,330,,1
Johannes Mayrhofer,Jillian Stobart,Undirected,331,,1
Johannes Mayrhofer,Robert E. Zillich,Undirected,332,,1
Johannes Mayrhofer,Siu A. Chin,Undirected,333,,1
Junichi Chikazoe,Daniel Hyuk-Joon Lee,Undirected,334,,1
Kaoru Inokuchi,Yugo Fukazawa,Undirected,335,,1
Kaoru Inokuchi,Hirofumi Nishizono,Undirected,336,,1
Kaoru Inokuchi,Mohammad Shehata,Undirected,337,,1
Kaoru Inokuchi,Takashi Kitamura,Undirected,338,,1
Kaoru Inokuchi,Kunihiro Tsuchida,Undirected,339,,1
Kaoru Inokuchi,Noriko Osumi,Undirected,340,,1
Kaoru Inokuchi,Ashok N. Hegde,Undirected,341,,1
Christof Koch,Alex Piet,Undirected,342,,1
Pooria Jafari Moghadam Fard,Shahriar Gharibzadeh,Undirected,343,,1
Pooria Jafari Moghadam Fard,Saman Parvaneh,Undirected,344,,1
Carlos Brody,Jonathan Pillow,Undirected,345,,1
Carlos Brody,Alex Piet,Undirected,346,,1
Alessandro Treves,Edmund T Rolls,Undirected,347,,1
Alessandro Treves,Stefano Panzeri,Undirected,348,,1
Alessandro Treves,Federico Stella,Undirected,349,,1
Alessandro Treves,Bailu Si,Undirected,350,,1
Alessandro Treves,Simon R. Schultz,Undirected,351,,1
Alessandro Treves,Martin Tovee,Undirected,352,,1
Alessandro Treves,Nicola van Rijsbergen,Undirected,353,,1
Alessandro Treves,Raymond Dolan,Undirected,354,,1
Alessandro Treves,"Carol A. Barnes, Ph.D.",Undirected,355,,1
Alessandro Treves,Yasser Roudi,Undirected,356,,1
Alessandro Treves,Vezha Boboeva,Undirected,357,,1
Alessandro Treves,Elisa Ciaramelli,Undirected,358,,1
Alessandro Treves,Eleonora Russo,Undirected,359,,1
Alessandro Treves,Torkel Hafting,Undirected,360,,1
Alessandro Treves,Marianne Fyhn,Undirected,361,,1
Alessandro Treves,nicholas furl,Undirected,362,,1
Alessandro Treves,Eugenio Urdapilleta,Undirected,363,,1
Alessandro Treves,Leonardo Franco,Undirected,364,,1
Alessandro Treves,Rosapia Lauro-Grotto,Undirected,365,,1
Jonathan Pillow,Liam Paninski,Undirected,366,,1
Jonathan Pillow,Eero P Simoncelli,Undirected,367,,1
Jonathan Pillow,E.J. Chichilnisky,Undirected,368,,1
Jonathan Pillow,Il Memming Park,Undirected,369,,1
Jonathan Pillow,"Alex Huk (Alexander C Huk, AC Huk)",Undirected,370,,1
Jonathan Pillow,Jacob L Yates,Undirected,371,,1
Jonathan Pillow,Jonathon Shlens,Undirected,372,,1
Jonathan Pillow,Kenneth W Latimer,Undirected,373,,1
Jonathan Pillow,Mikio Aoi,Undirected,374,,1
Jonathan Pillow,Anqi Wu,Undirected,375,,1
Jonathan Pillow,Mijung Park,Undirected,376,,1
Jonathan Pillow,Yashar Ahmadian,Undirected,377,,1
Jonathan Pillow,Ilana B. Witten,Undirected,378,,1
Jonathan Pillow,Kenneth A. Norman,Undirected,379,,1
Jonathan Pillow,Evan Archer,Undirected,380,,1
Jonathan Pillow,David M. Zoltowski,Undirected,381,,1
Jonathan Pillow,Adam Charles,Undirected,382,,1
Jonathan Pillow,Zoe Ashwood,Undirected,383,,1
Jonathan Pillow,Uri Hasson,Undirected,384,,1
Jonathan Pillow,Ji Hyun Bak,Undirected,385,,1
Jonathan Pillow,Nicholas A. Roy,Undirected,386,,1
Ji Hyun Bak,Changbong Hyeon,Undirected,387,,1
Ji Hyun Bak,Jonggeol Na,Undirected,388,,1
Ji Hyun Bak,Yong-Hyun Kim,Undirected,389,,1
Ji Hyun Bak,Seogjoo J Jang,Undirected,390,,1
Ji Hyun Bak,Clare Jung Yoon Choi,Undirected,391,,1
Ji Hyun Bak,Ilana B. Witten,Undirected,392,,1
Ji Hyun Bak,Yuno Lee,Undirected,393,,1
Ji Hyun Bak,Anne-Florence Bitbol,Undirected,394,,1
Ji Hyun Bak,Nicholas A. Roy,Undirected,395,,1
Daniel Munblit,Robert J Boyle,Undirected,396,,1
Daniel Munblit,danilo buonsenso,Undirected,397,,1
Daniel Munblit,Diego Peroni,Undirected,398,,1
Daniel Munblit,Margaret Eleanor O'Hara,Undirected,399,,1
Daniel Munblit,Donna Geddes,Undirected,400,,1
Daniel Munblit,Amanda Burls,Undirected,401,,1
Daniel Munblit,Charitini Stavropoulou,Undirected,402,,1
Daniel Munblit,Nikita Nekliudov,Undirected,403,,1
Daniel Munblit,Eli Harriss,Undirected,404,,1
Daniel Munblit,Anita Kozyrskyj,Undirected,405,,1
Daniel Munblit,johan garssen,Undirected,406,,1
Daniel Munblit,Ekaterina Khaleva,Undirected,407,,1
Daniel Munblit,Dr. Pasquale Comberiati,Undirected,408,,1
Daniel Munblit,valerie Verhasselt,Undirected,409,,1
Daniel Munblit,Dianne Campbell,Undirected,410,,1
Daniel Munblit,Peter Hsu,Undirected,411,,1
Daniel Munblit,Gail Carson,Undirected,412,,1
Daniel Munblit,CARMEN COLLADO,Undirected,413,,1
Daniel Munblit,Carolyn Slupsky,Undirected,414,,1
Daniel Munblit,Susan L. Prescott,Undirected,415,,1
Alex Piet,Chunyu A Duan,Undirected,416,,1
Alex Piet,Christine Constantinople,Undirected,417,,1
Alex Piet,Jeffrey C. Erlich,Undirected,418,,1
Alex Piet,Agostina Palmigiano,Undirected,419,,1
Alex Piet,Sean R. Bittner,Undirected,420,,1
